DATAFLOW,LAST UPDATE,freq,unit,month,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:DEMO_FMONTH(1.0),07/07/24 23:00:00,A,NR,M01,BE,1967,12157,
ESTAT:DEMO_FMONTH(1.0),07/07/24 23:00:00,A,NR,M01,BE,1968,11983,
ESTAT:DEMO_FMONTH(1.0),07/07/24 23:00:00,A,NR,M01,BE,1969,11848,
ESTAT:DEMO_FMONTH(1.0),07/07/24 23:00:00,A,NR,M01,BE,1970,11711,
ESTAT:DEMO_FMONTH(1.0),07/07/24 23:00:00,A,NR,M01,BE,1971,11998,
ESTAT:DEMO_FMONTH(1.0),07/07/24 23:00:00,A,NR,M01,BE,1972,11448,
ESTAT:DEMO_FMONTH(1.0),07/07/24 23:00:00,A,NR,M01,BE,1973,10995,
ESTAT:DEMO_FMONTH(1.0),07/07/24 23:00:00,A,NR,M01,BE,1974,10391,
ESTAT:DEMO_FMONTH(1.0),07/07/24 23:00:00,A,NR,M01,BE,1975,10038,
ESTAT:DEMO_FMONTH(1.0),07/07/24 23:00:00,A,NR,M01,BE,1976,9886,
ESTAT:DEMO_FMONTH(1.0),07/07/24 23:00:00,A,NR,M01,BE,1977,9756,
ESTAT:DEMO_FMONTH(1.0),07/07/24 23:00:00,A,NR,M01,BE,1978,9828,
ESTAT:DEMO_FMONTH(1.0),07/07/24 23:00:00,A,NR,M01,BE,1979,9967,
ESTAT:DEMO_FMONTH(1.0),07/07/24 23:00:00,A,NR,M01,BE,1980,10282,
ESTAT:DEMO_FMONTH(1.0),07/07/24 23:00:00,A,NR,M01,BE,1981,10165,
ESTAT:DEMO_FMONTH(1.0),07/07/24 23:00:00,A,NR,M01,BE,1982,9836,
ESTAT:DEMO_FMONTH(1.0),07/07/24 23:00:00,A,NR,M01,BE,1983,9790,
ESTAT:DEMO_FMONTH(1.0),07/07/24 23:00:00,A,NR,M01,BE,1984,9588,
ESTAT:DEMO_FMONTH(1.0),07/07/24 23:00:00,A,NR,M01,BE,1985,9291,
ESTAT:DEMO_FMONTH(1.0),07/07/24 23:00:00,A,NR,M01,BE,1986,9370,
ESTAT:DEMO_FMONTH(1.0),07/07/24 23:00:00,A,NR,M01,BE,1987,9754,
ESTAT:DEMO_FMONTH(1.0),07/07/24 23:00:00,A,NR,M01,BE,1988,9680,
ESTAT:DEMO_FMONTH(1.0),07/07/24 23:00:00,A,NR,M01,BE,1989,9824,
ESTAT:DEMO_FMONTH(1.0),07/07/24 23:00:00,A,NR,M01,BE,1990,10186,
ESTAT:DEMO_FMONTH(1.0),07/07/24 23:00:00,A,NR,M01,BE,1991,10789,
ESTAT:DEMO_FMONTH(1.0),07/07/24 23:00:00,A,NR,M01,BE,1992,10776,
ESTAT:DEMO_FMONTH(1.0),07/07/24 23:00:00,A,NR,M01,BE,1993,9895,
ESTAT:DEMO_FMONTH(1.0),07/07/24 23:00:00,A,NR,M01,BE,1994,9472,
ESTAT:DEMO_FMONTH(1.0),07/07/24 23:00:00,A,NR,M01,BE,1995,9506,
ESTAT:DEMO_FMONTH(1.0),07/07/24 23:00:00,A,NR,M01,BE,1996,9520,
ESTAT:DEMO_FMONTH(1.0),07/07/24 23:00:00,A,NR,M01,BE,1997,9838,
ESTAT:DEMO_FMONTH(1.0),07/07/24 23:00:00,A,NR,M01,BE,1998,9492,
ESTAT:DEMO_FMONTH(1.0),07/07/24 23:00:00,A,NR,M01,BE,1999,9215,
ESTAT:DEMO_FMONTH(1.0),07/07/24 23:00:00,A,NR,M01,BE,2000,9769,
